stopword_clean_content,intensity,stopword_clean_count
cant switch feelings person,sadness,4
really mine really together worth always sweetest whatever,sadness,8
feel forgetting,sadness,2
loyal always seems like loyal wrong people,sadness,7
dont regret past regret time wasted wrong people,sadness,8
sadly way people learn appreciate losing,sadness,6
dont hate hate done,sadness,4
seriously boys dont understand much little word move affect girl,sadness,10
truth still waiting till,sadness,4
outside smiling mean happy,sadness,4
bad relationship change good people,sadness,5
every time trust somebody show shouldnt,sadness,6
things change way made feel never,sadness,6
miss someone died miss someone moved away worst miss someone see everyday,sadness,12
every day acting like okay youll never know truth,sadness,9
like listen sad music sad make double sad,sadness,8
dont promise youre happy dont reply youre angry dont decide youre sad,sadness,12
heart made broken,sadness,3
feel crappy insidelike something broke,sadness,5
heart got issues dont know hate miss,sadness,7
worst mistakes walking away person actually stood waited,sadness,8
wait till day forget day realize cant forget,sadness,8
think changed truth never really knew real,sadness,7
real feelings dont away,sadness,4
afraid lose youre even mine,sadness,5
lost somebody wasnt even mine,sadness,5
sometimes smile hold back tears,sadness,5
people say follow heartbut way heart breaks,sadness,7
words fail tears speak,sadness,4
boyfriend treat like princess like bitch,sadness,6
hate fact things never got better,sadness,6
smile see broken inside,sadness,4
day youll finally see biggest mistake loving,sadness,7
hate jealous know,sadness,3
still love thats fact million apologies cant bring back,sadness,9
sometimes know stop hoping,sadness,4
wish werent dreams,sadness,3
sad part isnt never talk used talk everyday,sadness,8
hard forget someone shared many memories,sadness,6
sadness come bad circumstances comes bad thoughts,sadness,7
dont play heart intentions serious relationship,sadness,6
find girl prettier smarter funnier never find girl like,sadness,9
thanks texting first ignoring reply,sadness,5
need something hold phone,sadness,4
ever loved anyone way everyone wants loved,sadness,7
funny person hurt much expecting first place,sadness,7
fell didnt catch,sadness,3
matter much tries forget always,sadness,5
precious trophy best game played,sadness,5
relationships like glass sometimes better leave broken hurt trying put back together,sadness,12
dont blame leaving blame right things keep,sadness,7
forgive way look never used,sadness,5
memories reason cant move,sadness,4
hope hold pain ends,sadness,4
many books available onhow love someone single book available onhow forget truely loveable,sadness,13
mouth says ok fingers text fine heart says broken,sadness,9
promise break memories break,sadness,4
wish could give pain understand much hurt,sadness,7
always care even together even far far away,sadness,8
afraid lose youwhen even mine,sadness,5
apologies dont fix broken hearts,sadness,5
painful goodbyes ones never said heart already knows,sadness,8
truth cant hate even try,sadness,5
fault,sadness,1
know name story,sadness,3
act like dont care inside care ever think,sadness,8
lies dont end relationships truth,sadness,5
know chance somehow cant stop trying,sadness,6
strange lies dont end relationships usually truth,sadness,7
stop wasting tears someone doesnt care make smile,sadness,8
timepass lifebut someday wil truly realise time passed wid beautiful time ever,sadness,12
never trust people dont understand feelings,sadness,6
hard move still care,sadness,4
relationship ends doesnt mean people stopped loving sometimes stopped hurting,sadness,10
sucks ignored person whose attention means world,sadness,7
hate see face,sadness,3
dog thing mend crack broken heart,sadness,6
delete number basically deleted life,sadness,5
slowly giving,sadness,2
hate seeing bring back feelings tried hard forget,sadness,8
sorry caring sorry trying sorry let,sadness,6
relationship fails fault giving walking away stopping,sadness,7
tears prayers travel god cant speak,sadness,6
want someone experienced broken heart know exactly feels wont break mine,sadness,11
learned sometimes sorry enough sometimes actually change,sadness,7
sorry love,sadness,2
love trust sorry help,sadness,4
sorry felling sorry,sadness,3
saying sorry biggest strength,sadness,4
dont say sorry something planning repeating later,sadness,7
miss smile face hugsi miss,sadness,5
mood upset reasonyoure surely missing someone,sadness,6
nothing feels better surprise text person miss,sadness,7
miss read old conversation smile like idiot listen songs remind miss,sadness,11
calls texts nothing still thinking like crazy,sadness,7
cant lie miss,sadness,3
missing killing,sadness,2
wish phone would vibrate right name comes screen,sadness,8
miss smile face hugs miss,sadness,5
hey stupid still miss still love hope realize,sadness,8
miss everyday,sadness,2
missing someone able see worst feeling ever,sadness,7
sometimes simple miss change everything,sadness,5
close eyes see open eyes miss,sadness,6
sometimes person miss feelings moments memories,sadness,6
calls texts nothing still thinking like crazy,sadness,7
textsno callsnothingbut still thinking like crazy,sadness,6
need much closer,sadness,3
cant stop missing,sadness,3
try miss end still,sadness,4
dont miss miss laughs smiles good times way things,sadness,9
okay miss,sadness,2
miss name lighting phone,sadness,4
whenever miss hug pillow imagine,sadness,5
wish could back used miss,sadness,5
hug means need kiss means love call means missing,sadness,9
think love miss,sadness,3
love nothing missing,sadness,3
missing something life days,sadness,4
miss seeing name show phone,sadness,5
miss little much little often little every day,sadness,8
miss time actually meant something,sadness,5
never easy missing someone knowing cant anything,sadness,7
still miss miss missing,sadness,4
theres always person hate reason,sadness,5
emotional pain always hurt physical pain,sadness,6
silence another word pain,sadness,4
sometimes tears sign unspoken happiness smile sign silenced pain,sadness,9
pain remind still alive,sadness,4
know silence tears heal pain day,sadness,6
missing turn pain pleasure knew missing,sadness,6
painful goodbyes never said never explained,sadness,6
love cant proven poems promises presents sometimes pain patience prove,sadness,10
greatest pain comes love loving someone never,sadness,7
yes changed pain people,sadness,4
hurts okay cant force someone feel well feel,sadness,8
dont much closer anybody small change behavior hurts lot,sadness,9
care much thats get hurt,sadness,5
hurt truth dont comfort lie,sadness,5
days without talking obviously important,sadness,5
close eyes things dont want see cant close heart things dont want feel,sadness,13
guys dont realize much little thing hurt girl,sadness,8
promises worse lies dont make believe also make hope,sadness,9
perfect maturity person hurts try understand siuation dont hurt back,sadness,10
hurts realize arent important someone thought,sadness,6
sometimes angry hurt theres big difference,sadness,6
dont ask someone keep hurting ask youre allowing,sadness,8
love like rubber band held ends people leaves hurts,sadness,9
love always hurts,sadness,3
nothing hurts realizing meant everything meant nothing,sadness,7
wish could give pain moment hurt rather finally understand much hurt,sadness,11
dont trust much dont hope much much hurt much,sadness,9
hurts realize arent important someone thought,sadness,6
feel like everything wrong,sadness,4
erase messages delete numbers move dont forget accept arent person anymore,sadness,11
sometimes youre love care much let dont want hurt,sadness,9
get hurt actually give fuck,sadness,5
love like heavenbut hurts like hell,sadness,6
sometimes wish guts hurt like hurt even chance wouldnt take,sadness,10
hope youll realize much youre hurting someday,sadness,7
time doesnt really heal heart makes heart forget pain,sadness,9
sometimes better alone nobody hurt,sadness,5
fall love get hurt thats life,sadness,6
deepest people ones whove hurt,sadness,5
forget hurt yesterday dont forget loves tenderly today,sadness,8
getting hurt doesnt make stupid means enough hope enough love heart always think best people,sadness,15
ones truly hurt deeply ones love,sadness,6
nothing hurts realizing everything nothing,sadness,5
hurts today makes stronger tomorrow,sadness,5
hardest thing watch love love someone else,sadness,7
day youll realizeall love gave youis given someone else,sadness,9
silent people greatest heart,sadness,4
youre happy enjoy music youre sad understand lyrics,sadness,8
get jealous afraid someone going make happier,sadness,7
sometimes need run away see follow,sadness,6
girl make laugh likes make cry loves,sadness,7
emotions trouble things call,sadness,4
tell story doesnt make cry thats know youve healed,sadness,9
never assume someone likes sweetness sometimes youre option theyre bored,sadness,10
arent worthy silence cant respect feelings,sadness,6
get addicted something takes away pain,sadness,6
dear feelings need move,sadness,4
stays permanently learn survive alone,sadness,5
never search happiness makes feel none search feel happy even left alone,sadness,12
wish could ignore way ignore,sadness,5
understand left dont understand still waiting,sadness,6
sometimes stay silent words explain whats going mind heart,sadness,9
feel alone sometimes,sadness,3
dont want dont mess feelings,sadness,5
never depend others much someday walk alone,sadness,7
hard forget someone gave much remember,sadness,6
better quietly miss someone rather let know get response,sadness,9
billions people world sometimes really need,sadness,6
never feel alone bcz loneliness always,sadness,6
sometimes pretend dont care really care anyone else ever,sadness,9
matter hard try people never change,sadness,6
type girl smiles make everyones day even though dying inside,sadness,10
sit alone sit past,sadness,4
scared getting close anyone said always,sadness,6
people always online loneliest agree,sadness,5
dont care long know nobody,sadness,5
hope always remember great memories created,sadness,6
may forget person memories stay forever,sadness,6
close anymore doesnt mean dont care,sadness,6
missing someone part loving never apart never know strong love really,sadness,11
loneliness better bad company,sadness,4
told perfect still left known perfect wouldnt good enough,sadness,9
dont cry someone wouldnt cry,sadness,5
ignores thats need talk,sadness,4
sorry isnt always enough sometimes actually change,sadness,7
upon time stupid enough fall love,sadness,6
walking friend dark better walking alone light,sadness,7
every time ignore regret every text message ever sent,sadness,9
sometimes hate getting close people think walk life matter close,sadness,10
days cant stop thinking days wonder wasting time,sadness,8
things never back way used matter much miss,sadness,8
cheating choice mistake,sadness,3
people always cheated mebecause loved like mad,sadness,7
want honest relationship lies mind games cheating,sadness,7
alphabets teaching cheating common try cheat often teach,sadness,8
dont understand people cheat youre happy leave,sadness,7
relationship flirting cheating,sadness,3
people dont cheat chance cheat choice,sadness,6
cheater always repeater,sadness,3
cheater always cheater never trusted,sadness,5
cheating isnt always kissing touching flirting gotta delete text messages partner wont seem already,sadness,14
cheating easy try something hard like committed,sadness,7
dont lie dont cheat dont make promises cant keep,sadness,9
honest frankpeople may cheat yoube honest frank anyway,sadness,8
excuse cheating relationship,sadness,3
interested dont cheat better leave,sadness,5
cheating unless get caught,sadness,4
relationship flirting cheating,sadness,3
cheaters think everyone cheats liars think everyone lies keep mind,sadness,10
enough time cheat enough time think,sadness,6
dont cry someone wont cry,sadness,5
cheating choice mistake,sadness,3
hurt still love true love isnt found built silence another word pain killed left good wish could ignore like ignore sometimes need person cares sometimes need person cares person everyone replaces whilexa sad whatsapp statusxa dont care people dont care beauty shines brighter good heart give going give sad years dont tell gets better behind smile everything youll never understand stay home alone listen music think much worst kind sad able explain tears words painful broken heart speak like alone would rather alone say dont care anymore truth care much sad quotesxa matter far always thoughts say dont care anymore truth care much tired fightin want fought hope youll realize much youre hurting day every time trust somebody show shouldnt really need stop emotional everything root disappointment comes holding expectation sad whatsapp statusxa hurts let sometimes hurts hold miss time actually meant something wanted text remembered dont talk anymore wanted text remembered dont talk anymore sorry forgot exist need something smiling always easier explaining youre sad wish brain map tell heart hard pretend love person really love sometimes comes like dream leaves likes nightmare sad status whatsappxa sometimes takes losing something realize youve feel like waiting something isnt going happen wanna wanna deserve trust like papers crumpled cant perfect sad people become promised theyd never even hurting bad inside ill still smile say fine wanted many taken none talking waiting people treat like dont care believe dont every birth paid death every happiness paid unhappiness sad whatsapp statusxa know nothing change reason still wait sick crying tired trying yes smiling inside dying theres nothing depressing still feeling sad technically single heart taken someone cant love hearts hurts never hurt heart loves relationship bitches dont know count use smile change world dont let world change smile may pushing away youre fighting keep either nothing depressing still feeling sad nobody deserves tears whoever deserves make cry sick crying tired trying yes still smiling inside dying sad quotesxa find someone knows youre perfect treats word happiness would lose meaning balanced sadness sometimes forget person loved move worst kind pain youre smiling stop tears falling never tears measure pain sometimes take smile fake feel like balloonlooking bright cheerful empty lonely inside isnt sad get hurt much finally say used toughest part letting realizing person already keep busy things every time pause still think lose trying hold someone doesnt care losing sometimes forget person loved move least tell lie love live rest life sad status whatsappxa people cry theyre weak theyve strong long touched heart thousand pleasures broke million pieces know say first love sweetest first cut deepest always tears measure pain sometimes smile fake worst kind pain youre smiling stop tears falling upset lied upset cant believe people cry theyre weak theyve strong long truly love someone given everything never expect return sad whatsapp statusxa sad realize arent important someone thought searching remembering heshe disappearing forgetting cry thing end crying everything thats messed life even cant together end still glad part life people leave easier walk away fight really want everything isxacomplicated even things seem flat bleakness sadness every thought battle every breath war dont think winning anymore nothing hurts realizing meant everything meant nothing everythings complicated even things seem flat bleakness sadness moving sound easy died thousand times pain appreciate phrase yeah shes smiling dont let fool look eyes shes breaking inside sad quotesxa playing back thousand memories baby thinking everything weve words deeper knives knife pulled words embedded soul yeah shes smiling dont let fool look eyes shes breaking inside doesnt matter hurt broke matters made smile dont know call heartbreak feels like every part body broken people change reason learned lot hurt many times sad whatsapp statusxa sometimes girl whos always everyone else need someone everyone want happiness wants pain cant make rainbow without little rain many things make happy dont focus much things make sad heavy hearts like heavy clouds sky best relieved letting little water sad whatsapp statusxa never expect things happen better feel surprised feel disappointed pain thing makes feel alivei never good enough got hurts person made feel special makes feel unwanted today letting doesnt mean youve stopped caring means stopped trying force someone think afraid happy whenever get happy something bad always happens worst person around someone complains everything appreciates nothing saddest people ever met life ones dont care deeply anything smile easier explaining sadi dont think know hate fact ignore long start talking like nothing happened sad status whatsappxa think afraid happy whenever get happy something bad always happens sometimes got accept fact certain things never back used moment burst crying room realize know unhappy people experiencing pain tend ones always trying make others smile always care even together even far far away waiting painful forgetting painful knowing worse kind suffering crying way eyes speak mouth cant explain things made heart break eight letters three words regret miss youi stay home alone listen music think much always care even together even far far away sad whatsapp statusxa sometimes crying way eyes speak mouth cant explain broken heart didnt lose lost youll search inside everyone youre wont found breakup like broken mirror better leave hurt trying pick pieces guess ends separate ways hope well see somewhere future learn worst times life youll ready best times life sad whatsapp statusxa cry much want make sure youre finished never cry reason sorry tried prefect sad years dont tell gets better habit falling hard falling fast getting hopes something know wont last sometimes say okay want someone look eyes hug tight say know youre treat like shit reason yet still love stop breaking heart want love sometimes dont tell people whats wrong time theyre curious care fighting alone depressed everyday fight tired sad trustnothing feels right get used alone enough break day get used beginning cant control everything happens control react things control loneliest moment someones life watching whole world fall apart stare blankly sad statusxa apologizing doesnt always mean youre wrong person right means value relationship ego pain day missing dear ones pain really love without presence mindxaxasad quotes youre first person broke heart rest life always hurt dont forget ever noticed special treat someone someone takes granted wont ever change expression eyes read everyonebut depression heart read best onecare everyone dont lose best,sadness,1046
say sensitive truth feel much every word every action every energy goes straight heart,sadness,14
person yesterday compared person today,sadness,5
goodbyes hurts flashbacks follows,sadness,4
smile face doesnt mean life perfect means appreciate god blessed,sadness,10
courage doesnt mean cant get afraid courage means dont let fear stops,sadness,12
sometimes crying way eyes speak mouth cant explain broken heart,sadness,10
crying mean person weak means person heart,sadness,7
emotional girls kind heart theyll show true feelings without cheap behaviour,sadness,11
people close act complete strangers,sadness,5
respect every single drop water either sky eye,sadness,8
perfect couple perfect situation,sadness,4
trust many games interesting playing emotions,sadness,6
worst part life surrounded many still noticing problem,sadness,8
like darkness see stars brightly,sadness,5
rain falls cloud couldnt bear weight water tears fall heart couldnt bear weight pain,sadness,14
dog thing earth loves love,sadness,5
dont waste tears crying someone doesnt even deserve see smile,sadness,10
smile camera smile friends smile family smile world cry,sadness,9
sometimes good cry shower need release pain build inside,sadness,9
eye dust heart trust always cries,sadness,6
crying heart speaks lips cant explain pain feel,sadness,8
girl cries guy normal guy cries girl never love another girl like,sadness,12
youre going make cry least wipe away tears,sadness,8
never cry person hurts smile say thanks giving chance find someone better,sadness,12
tear made water feelings,sadness,4
cry love detector someone makes cry shows much love much relationship means,sadness,12
cry cut cry never ends,sadness,5
stop crying yesterday start smiling tomorrow,sadness,6
eye dust heart trust always cries,sadness,6
tears come heart brain,sadness,4
sometimes hold head high blink away tears say goodbye,sadness,9
instead wiping tears wipe away people caused,sadness,7
